horizon_weeks,feature,best_lag_weeks,best_corr_abs
1,ws_экспресс_тест_ковид,8,0.1516669098266797
1,ws_group_disease_lag_1,8,0.15163754150400655
1,ws_group_disease_lag_2,7,0.15163754150400655
1,ws_group_disease_roll_mean_8,6,0.15136256833214354
1,ws_group_disease,8,0.1511292042168697
1,ws_положительный_тест_ковид_diff_1w,4,0.1499374254721351
1,ws_share_экспресс_тест_ковид,8,0.14957828638243478
1,ws_group_disease_shock_ratio,2,0.14717895612171605
1,ws_тест_на_ковид_diff_1w,4,0.1457334421275912
1,ws_сатурация_shock_ratio,1,0.14171239652408596
1,ws_чем_лечить_ковид_diff_1w,3,0.14007262516512456
1,ws_group_total_shock_ratio,1,0.140033543781991
1,ws_total_denoised_shock_ratio,1,0.140033543781991
1,ws_total_raw_shock_ratio,1,0.140033543781991
1,ws_total_spike_ratio,1,0.140033543781991
1,ws_total_spike_ratio_lag_1,1,0.13820954482568423
1,ws_group_specific_symptoms_shock_ratio,1,0.1379925381479593
1,ws_total_spike_flags_zscore_8,7,0.13397652259612694
1,ws_температура_38_shock_ratio,1,0.13287571739501924
1,ws_коронавирус_shock_ratio,2,0.13210200247917553
1,ws_total_spike_ratio_lag_2,1,0.1309916275242047
1,ws_симптомы_ковида_diff_2w,3,0.12774463955691628
1,ws_total_spike_ratio_shock_ratio,5,0.1273534474657092
1,ws_total_denoised_roll_mean_4_diff_2w,1,0.12484595779084241
1,ws_total_denoised_roll_mean_4_shock_ratio,1,0.12427389435254745
1,ws_group_testing_roll_mean_4,7,0.1240991517016771
1,ws_ковид_diff_2w,3,0.12318185481017499
1,ws_group_testing,8,0.12314674011941798
1,ws_group_testing_lag_1,7,0.12314674011941798
1,ws_group_testing_lag_2,6,0.12314674011941798
1,ws_total_denoised_roll_mean_8_diff_1w,1,0.12243151011787325
1,ws_group_testing_roll_mean_8,6,0.12227693503541896
1,ws_коронавирус_roll_mean_4,7,0.1219809850204998
1,ws_коронавирус,8,0.12123299191581413
1,ws_коронавирус_lag_1,7,0.12123299191581413
1,ws_коронавирус_lag_2,6,0.12123299191581413
1,ws_ломота_shock_ratio,2,0.12022012151795218
1,ws_group_testing_diff_2w,3,0.1201863517346588
1,ws_total_spike_ratio_growth_2w,4,0.11995488180322116
1,ws_share_коронавирус,8,0.11898431245371709
1,ws_коронавирус_roll_mean_8,6,0.11819088372164004
1,ws_total_denoised_roll_mean_4_diff_1w,1,0.11703888967002055
1,ws_total_denoised_roll_mean_8_diff_2w,1,0.11484847364571546
1,ws_group_general_symptoms_shock_ratio,1,0.11162133044063922
1,ws_сухой_кашель_shock_ratio,1,0.1113748146091229
1,ws_температура_39_shock_ratio,1,0.11123421323022155
1,ws_total_spike_ratio_roll_mean_8,1,0.11019576393031026
1,ws_одышка_shock_ratio,8,0.10824151125327336
1,ws_total_spike_flags_roll_mean_4,8,0.10676839867734632
1,ws_пцр_тест_shock_ratio,1,0.10562653966377435
1,ws_боль_в_горле_shock_ratio,1,0.10496072728215283
1,ws_total_spike_flags_shock_ratio,7,0.10459068154403839
1,ws_covid_shock_ratio,3,0.1002355105514583
1,ws_потеря_вкуса_shock_ratio,3,0.09785530215620525
1,ws_group_disease_diff_2w,3,0.09583893823909252
1,ws_кт_легких_shock_ratio,1,0.09581065513714572
1,ws_group_complications_treatment_shock_ratio,1,0.09491622934658783
1,ws_симптомы_ковида_diff_1w,4,0.09401383688577966
1,ws_total_spike_ratio_growth_1w,5,0.09207641211078588
1,ws_пропало_обоняние_diff_2w,3,0.0913497939765143
1,ws_total_spike_ratio_diff_2w,5,0.09104630671278148
1,ws_group_total_diff_2w,3,0.08780746949822447
1,ws_total_denoised_diff_2w,3,0.08780746949822447
1,ws_total_raw_diff_2w,3,0.08780746949822447
1,ws_ковид_diff_1w,4,0.0868028941507969
1,ws_пневмония_shock_ratio,1,0.08617102974904257
1,ws_пцр_тест_roll_mean_4,4,0.08363790283174966
1,ws_пцр_тест,6,0.08330011890315238
1,ws_пцр_тест_lag_1,5,0.08330011890315238
1,ws_пцр_тест_lag_2,4,0.08330011890315238
1,ws_group_testing_diff_1w,4,0.08310330451284931
1,ws_total_denoised_roll_mean_8_shock_ratio,1,0.08287243220677305
1,ws_коронавирус_diff_2w,3,0.08252935889639845
1,ws_пцр_тест_roll_mean_8,3,0.08018228038010404
1,ws_одышка_diff_2w,7,0.07402327862316992
1,ws_share_пцр_тест,7,0.0724535243410137
1,ws_total_spike_ratio_diff_1w,7,0.07148336717747945
1,ws_нет_запахов_shock_ratio,8,0.06876918570563695
1,ws_пропало_обоняние_diff_1w,4,0.06572252989810341
1,ws_group_disease_diff_1w,4,0.06496159626846391
1,ws_ломота_diff_2w,2,0.06332825920113737
1,ws_потеря_вкуса_diff_2w,3,0.06133921205869345
1,ws_total_denoised_diff_1w,3,0.05995942741839217
1,ws_total_raw_diff_1w,3,0.05995942741839217
1,ws_group_total_diff_1w,3,0.059959427418392115
1,ws_covid_diff_2w,3,0.059725251798361974
1,ws_group_specific_symptoms_diff_2w,3,0.05942996865926011
1,ws_total_spike_flags_lag_2,8,0.056617971139451696
1,ws_total_spike_flags_lag_1,8,0.056456593292368594
1,ws_коронавирус_diff_1w,4,0.05577547672554959
1,ws_боль_в_горле_diff_2w,1,0.05417333821357383
1,ws_сатурация_diff_2w,3,0.05352430494766972
