feature,shap_value_log,abs_shap_value_log,feature_value,expected_value_log,prediction_log,prediction_cases
is_may_holiday_period,0.00247702163452031,0.00247702163452031,0.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_сатурация_lagbest,-0.0024630846671241605,0.0024630846671241605,0.00125,8.465437761522493,6.813027419064404,908.6204449706653
cases_acceleration_1w,-0.0023730159423559958,0.0023730159423559958,-0.1176902608588655,8.465437761522493,6.813027419064404,908.6204449706653
temp_max,-0.00236447169784006,0.00236447169784006,9.9,8.465437761522493,6.813027419064404,908.6204449706653
precip_sum_roll_mean_4,-0.0023188205409325484,0.0023188205409325484,13.24999999999998,8.465437761522493,6.813027419064404,908.6204449706653
month_cos,0.0018358310215864796,0.0018358310215864796,6.123233995736766e-17,8.465437761522493,6.813027419064404,908.6204449706653
weekofyear_cos,0.0015055853328392742,0.0015055853328392742,0.120536680255323,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_ломота_lagbest,0.0013559199367840446,0.0013559199367840446,0.00039,8.465437761522493,6.813027419064404,908.6204449706653
humidity_mean_lag_1,-0.001310635612078519,0.001310635612078519,66.857,8.465437761522493,6.813027419064404,908.6204449706653
ws_group_complications_treatment,0.0012842520182358788,0.0012842520182358788,66697.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_share_пневмония_lagbest,-0.0012535103488967225,0.0012535103488967225,0.0105,8.465437761522493,6.813027419064404,908.6204449706653
precip_sum,0.0007950453060685587,0.0007950453060685587,8.2,8.465437761522493,6.813027419064404,908.6204449706653
temp_min,0.0007380342327947903,0.0007380342327947903,-7.2,8.465437761522493,6.813027419064404,908.6204449706653
is_school_start_week,-0.0006233544828120019,0.0006233544828120019,0.0,8.465437761522493,6.813027419064404,908.6204449706653
school_break_days,-0.0004810167994459089,0.0004810167994459089,0.0,8.465437761522493,6.813027419064404,908.6204449706653
wind_speed_mean,-0.0004516739895857999,0.0004516739895857999,1.036,8.465437761522493,6.813027419064404,908.6204449706653
pressure_mean,-0.0004378205819117976,0.0004378205819117976,752.189,8.465437761522493,6.813027419064404,908.6204449706653
temp_mean_lag_1,-0.0003736812123846979,0.0003736812123846979,5.829,8.465437761522493,6.813027419064404,908.6204449706653
is_holiday_week,0.0003632525029894523,0.0003632525029894523,0.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_сатурация_denoised_lagbest,-0.0003490787762992027,0.0003490787762992027,7227.0,8.465437761522493,6.813027419064404,908.6204449706653
mask_mandate,-0.00032205044521773545,0.00032205044521773545,0.0,8.465437761522493,6.813027419064404,908.6204449706653
cases_lag_8,0.0002967652335791879,0.0002967652335791879,1280.0,8.465437761522493,6.813027419064404,908.6204449706653
month,0.00023000323599638444,0.00023000323599638444,3.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_total_spike_flags,0.00022130982351930884,0.00022130982351930884,1.0,8.465437761522493,6.813027419064404,908.6204449706653
precip_sum_lag_1,0.00014764802912985492,0.00014764802912985492,22.2,8.465437761522493,6.813027419064404,908.6204449706653
restriction_level,-0.00010457005642972259,0.00010457005642972259,0.0,8.465437761522493,6.813027419064404,908.6204449706653
ws_ломота_denoised_lagbest,8.911331946336608e-05,8.911331946336608e-05,2291.0,8.465437761522493,6.813027419064404,908.6204449706653
nonworking_days_total,-8.838496367516977e-05,8.838496367516977e-05,2.0,8.465437761522493,6.813027419064404,908.6204449706653
is_new_year_period,0.0,0.0,0.0,8.465437761522493,6.813027419064404,908.6204449706653
short_work_days,0.0,0.0,0.0,8.465437761522493,6.813027419064404,908.6204449706653
holiday_days,0.0,0.0,0.0,8.465437761522493,6.813027419064404,908.6204449706653
remote_work,0.0,0.0,0.0,8.465437761522493,6.813027419064404,908.6204449706653
weekend_days,0.0,0.0,2.0,8.465437761522493,6.813027419064404,908.6204449706653
is_school_break_week,0.0,0.0,0.0,8.465437761522493,6.813027419064404,908.6204449706653
temp_mean,0.0,0.0,1.446,8.465437761522493,6.813027419064404,908.6204449706653
