week_start,target_week_start,horizon_weeks,y_true,naive_pred,hybrid_pred,advanced_pred,advanced_model_name
2025-02-10,2025-02-24,2,996.0,1036.0,1332.1039840704514,1113.7569548332544,advanced_level_catboost
2025-02-17,2025-03-03,2,903.0,939.0,1320.479980391856,1265.10558389817,advanced_level_catboost
2025-02-24,2025-03-10,2,864.0,996.0,1219.0338885495378,1373.0872004748337,advanced_level_catboost
2025-03-03,2025-03-17,2,725.0,903.0,1130.4190177501605,1186.3104656635148,advanced_level_catboost
2024-05-27,2024-06-17,3,1294.0,2224.0,2329.452794453969,2743.083313254821,advanced_ratio_catboost
2024-06-03,2024-06-24,3,1299.0,2222.0,1531.14260515738,1553.9799032691371,advanced_ratio_catboost
2024-06-10,2024-07-01,3,1394.0,1811.0,1338.3703980110288,1261.0196134326284,advanced_ratio_catboost
2024-06-17,2024-07-08,3,1534.0,1294.0,1158.835034651874,1453.272594915582,advanced_ratio_catboost
2024-06-24,2024-07-15,3,1425.0,1299.0,1182.5131668935594,1192.9751778461284,advanced_ratio_catboost
2024-07-01,2024-07-22,3,1506.0,1394.0,1358.4380774762046,1602.7471807460688,advanced_ratio_catboost
2024-07-08,2024-07-29,3,1803.0,1534.0,1588.3069742675586,1993.5588374109784,advanced_ratio_catboost
2024-07-15,2024-08-05,3,2524.0,1425.0,1691.9102121776916,2413.980700732353,advanced_ratio_catboost
2024-07-22,2024-08-12,3,3227.0,1506.0,2038.025271694665,2321.568596285312,advanced_ratio_catboost
2024-07-29,2024-08-19,3,3940.0,1803.0,2419.629342835113,3720.299759024415,advanced_ratio_catboost
2024-08-05,2024-08-26,3,4828.0,2524.0,3153.7616451099366,4894.868357545715,advanced_ratio_catboost
2024-08-12,2024-09-02,3,5050.0,3227.0,3732.138767489917,5334.28512633929,advanced_ratio_catboost
2024-08-19,2024-09-09,3,5769.0,3940.0,3949.430291680488,6861.684360425193,advanced_ratio_catboost
2024-08-26,2024-09-16,3,7196.0,4828.0,5122.978547029376,7163.214139159735,advanced_ratio_catboost
2024-09-02,2024-09-23,3,6736.0,5050.0,4277.913734921212,6093.324346064693,advanced_ratio_catboost
2024-09-09,2024-09-30,3,5992.0,5769.0,5268.9661399895385,7684.103523931505,advanced_ratio_catboost
2024-09-16,2024-10-07,3,5079.0,7196.0,5322.749457878195,9595.971876712212,advanced_ratio_catboost
2024-09-23,2024-10-14,3,4131.0,6736.0,4543.626968852693,5681.617206807844,advanced_ratio_catboost
2024-09-30,2024-10-21,3,3788.0,5992.0,4265.3337688945085,4672.126702135511,advanced_ratio_catboost
